# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = tmphate1ayn_model
# start_datetime = 2022-03-05 18:14:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/4p/0qz7dp9d0z77llrj1f8zbg1w0000gn/T/tmpc6s5sv7i/zicss1ai.json
# init = 2 (Default)
# random
#   seed = 12460
# output
#   file = /Users/patryktomaszewski/studies/bachelor1/data analitycs/Data-Analytics-labs/Lab 1 - Python review/results/bern_1-20220305191452_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.19463
# Diagonal elements of inverse mass matrix:
# 0.210397
-12.6414,1,1.19463,1,1,0,12.7545,0.688108
-13.2228,0.927223,1.19463,2,3,0,13.2232,0.75538
-12.5541,1,1.19463,1,3,0,13.0315,0.666061
-12.6345,0.991715,1.19463,2,3,0,12.6411,0.686707
-12.9458,0.911682,1.19463,1,1,0,12.9539,0.73041
-12.9538,0.999252,1.19463,2,3,0,13.0844,0.731245
-12.8774,1,1.19463,2,3,0,13.0298,0.722889
-13.1835,0.719408,1.19463,2,3,0,15.0063,0.498637
-14.1829,0.701866,1.19463,1,1,0,14.3223,0.422451
-12.7054,1,1.19463,1,1,0,13.6619,0.559873
-14.2943,0.748928,1.19463,2,3,0,14.4946,0.816193
-13.3332,1,1.19463,1,1,0,14.1367,0.763676
-13.3875,0.986187,1.19463,1,1,0,13.6111,0.767506
-12.5101,0.973362,1.19463,1,3,0,13.2633,0.619382
-12.9102,0.892492,1.19463,1,3,0,12.9904,0.726592
-13.4873,0.946029,1.19463,2,3,0,13.5239,0.471397
-14.7215,0.649178,1.19463,1,1,0,14.9361,0.391973
-13.3718,1,1.19463,1,1,0,14.4182,0.481156
-13.0825,1,1.19463,1,1,0,13.4366,0.509035
-12.5738,1,1.19463,1,1,0,12.9051,0.589679
-13.0694,0.840538,1.19463,1,1,0,13.0704,0.510451
-12.5501,1,1.19463,1,3,0,12.8882,0.597641
-12.5053,0.961299,1.19463,2,3,0,12.7182,0.626107
-12.7005,0.942236,1.19463,2,3,0,12.8149,0.698796
-13.2068,0.864724,1.19463,1,1,0,13.2151,0.754121
-13.8471,0.851663,1.19463,1,1,0,13.9362,0.795047
-12.5953,1,1.19463,1,3,0,13.5161,0.677884
-13.0803,0.870515,1.19463,1,3,0,13.2938,0.509274
-12.9256,1,1.19463,2,3,0,13.1531,0.527206
-12.9256,0.758956,1.19463,1,1,0,13.501,0.527206
-12.5042,1,1.19463,1,3,0,12.8153,0.633096
-12.5577,0.96804,1.19463,2,3,0,12.6485,0.667287
-13.5053,0.794249,1.19463,1,3,0,13.5346,0.77532
-12.6092,1,1.19463,2,3,0,13.3588,0.580005
-12.5041,0.921554,1.19463,2,3,0,12.9528,0.632676
