# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = tmphate1ayn_model
# start_datetime = 2022-03-05 18:14:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/4p/0qz7dp9d0z77llrj1f8zbg1w0000gn/T/tmpc6s5sv7i/zicss1ai.json
# init = 2 (Default)
# random
#   seed = 12460
# output
#   file = /Users/patryktomaszewski/studies/bachelor1/data analitycs/Data-Analytics-labs/Lab 1 - Python review/results/bern_1-20220305191452_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.907128
# Diagonal elements of inverse mass matrix:
# 0.231678
-13.4392,0.915824,0.907128,1,1,0,13.441,0.771008
-12.6897,0.997104,0.907128,2,7,0,13.3094,0.562767
-12.8293,0.969244,0.907128,1,1,0,12.8437,0.540091
-12.6543,0.91459,0.907128,2,7,0,13.4061,0.690625
-12.6543,0.762023,0.907128,1,3,0,14.2683,0.690625
-12.687,0.993718,0.907128,1,1,0,12.7082,0.69653
-12.6822,0.94232,0.907128,1,3,0,13.2146,0.5642
-12.9491,0.941938,0.907128,1,1,0,12.952,0.524295
-12.7915,1,0.907128,1,1,0,12.9444,0.545664
-12.8319,0.996983,0.907128,2,3,0,12.8851,0.539718
-13.0873,0.94399,0.907128,1,1,0,13.1124,0.508522
-12.5612,1,0.907128,2,3,0,12.9788,0.6684
-12.506,0.953925,0.907128,2,3,0,12.9191,0.638385
-12.5068,0.999089,0.907128,1,3,0,12.5132,0.623419
-12.8094,0.853129,0.907128,2,3,0,13.5627,0.714593
-12.6287,1,0.907128,1,1,0,12.7751,0.68551
-13.2511,0.914327,0.907128,2,3,0,13.4865,0.757577
-13.5616,0.950988,0.907128,1,1,0,13.6184,0.778845
-12.5336,0.978022,0.907128,1,3,0,13.6483,0.658173
-12.7382,0.967688,0.907128,1,3,0,12.7559,0.704708
-12.522,0.998253,0.907128,2,3,0,12.7544,0.652358
-12.5533,0.993631,0.907128,1,1,0,12.5533,0.665809
-12.5596,0.998744,0.907128,1,1,0,12.5679,0.66788
-12.9869,0.875668,0.907128,1,3,0,13.4429,0.519771
-12.817,1,0.907128,1,1,0,12.9825,0.541859
-12.5567,1,0.907128,2,7,0,12.7637,0.666935
-12.5379,1,0.907128,1,1,0,12.5557,0.660018
-13.069,0.931663,0.907128,2,3,0,13.1798,0.742414
-12.9138,1,0.907128,1,1,0,13.0803,0.726982
-12.752,1,0.907128,1,1,0,12.8979,0.706748
-12.6643,1,0.907128,1,1,0,12.7475,0.692493
-12.5078,0.951944,0.907128,2,3,0,13.0758,0.621977
-13.7361,0.84753,0.907128,2,3,0,13.7631,0.789051
-13.739,0.999558,0.907128,1,1,0,13.9513,0.789214
-12.5145,1,0.907128,2,3,0,13.5095,0.615501
-12.5288,0.998981,0.907128,2,3,0,12.5289,0.606783
-12.5288,0.585075,0.907128,1,3,0,15.1081,0.606783
-12.5156,1,0.907128,2,3,0,12.5263,0.614666
-12.5101,1,0.907128,1,1,0,12.5147,0.61942
-16.6935,0.609509,0.907128,2,3,0,17.305,0.308538
-14.7826,1,0.907128,1,1,0,16.4373,0.388799
-13.4977,1,0.907128,2,7,0,14.7736,0.774833
-13.5247,0.997059,0.907128,2,7,0,13.5427,0.468367
-12.5339,0.991156,0.907128,2,3,0,13.5979,0.604282
-12.6338,0.958075,0.907128,1,3,0,12.8127,0.686564
-12.5912,1,0.907128,1,1,0,12.6333,0.676864
-12.555,1,0.907128,1,1,0,12.587,0.66636
-12.5243,0.991636,0.907128,1,3,0,12.637,0.609179
-12.7827,0.918952,0.907128,1,3,0,13.0391,0.711049
-13.3338,0.798454,0.907128,1,3,0,14.6046,0.484516
-12.5483,1,0.907128,2,3,0,13.1838,0.66403
-13.2812,0.872285,0.907128,1,3,0,13.4301,0.759861
-12.9595,1,0.907128,1,1,0,13.2443,0.731835
-13.0806,0.992991,0.907128,2,3,0,13.1339,0.743462
-13.2083,0.945691,0.907128,2,3,0,13.8722,0.754234
-13.9508,0.888236,0.907128,1,1,0,13.9547,0.800352
-12.6461,0.975783,0.907128,1,3,0,13.92,0.689038
-16.4421,0.446832,0.907128,1,3,0,17.9499,0.88147
-16.8999,0.958993,0.907128,1,1,0,17.2692,0.891003
-15.2595,1,0.907128,1,1,0,16.7607,0.8509
-12.6732,0.943269,0.907128,1,3,0,15.4855,0.694115
-12.5306,0.999942,0.907128,2,7,0,12.6445,0.605885
-12.5544,0.998281,0.907128,2,3,0,12.5558,0.596057
-12.5544,0.776084,0.907128,1,3,0,13.8651,0.596057
-12.7309,0.932883,0.907128,1,3,0,13.043,0.703601
-12.6259,1,0.907128,2,3,0,12.7153,0.684914
-12.5076,0.992355,0.907128,1,3,0,12.6854,0.622281
-12.5257,0.990214,0.907128,2,3,0,12.5779,0.654383
-12.6283,0.98883,0.907128,2,7,0,12.6289,0.575446
-12.5264,0.994532,0.907128,2,3,0,12.6764,0.608025
-12.5278,0.999966,0.907128,2,7,0,12.5278,0.655435
-12.5143,0.956567,0.907128,2,3,0,12.8567,0.647312
-13.2215,0.837566,0.907128,1,3,0,13.6003,0.494925
-12.5052,1,0.907128,2,3,0,13.1825,0.626276
-12.563,0.984345,0.907128,1,3,0,12.6004,0.668954
-12.6693,0.843997,0.907128,2,3,0,13.8311,0.693414
-12.7672,0.981556,0.907128,1,1,0,12.7787,0.708918
-12.6014,1,0.907128,1,1,0,12.7351,0.679377
-12.6368,0.997691,0.907128,2,3,0,12.6478,0.687185
-12.8464,0.903947,0.907128,1,3,0,13.4158,0.537676
-12.7087,0.929079,0.907128,1,3,0,13.5691,0.700128
-12.7273,0.930485,0.907128,1,3,0,13.3469,0.55601
-13.2471,0.761102,0.907128,1,3,0,14.4783,0.757274
-12.5131,0.983867,0.907128,1,3,0,13.3398,0.646389
-13.0397,0.874661,0.907128,1,3,0,13.3337,0.513725
-12.5199,1,0.907128,2,3,0,12.9484,0.651125
-12.5331,0.989463,0.907128,2,7,0,12.5923,0.604677
-12.511,0.988858,0.907128,2,3,0,12.6229,0.644497
-12.5074,0.999475,0.907128,2,3,0,12.5165,0.640583
-12.5046,0.99888,0.907128,2,3,0,12.5165,0.62799
-12.6054,0.931531,0.907128,2,3,0,12.9868,0.680322
-12.5445,1,0.907128,1,1,0,12.5933,0.662646
-12.5191,1,0.907128,1,1,0,12.5393,0.650592
-12.5202,0.999761,0.907128,1,1,0,12.523,0.65131
-12.5448,0.989077,0.907128,1,3,0,12.6145,0.599647
-12.5382,1,0.907128,2,3,0,12.5491,0.602365
-12.6403,0.977841,0.907128,2,3,0,12.7335,0.572758
-12.6615,0.94398,0.907128,1,3,0,13.0957,0.691975
-12.9392,0.969961,0.907128,2,7,0,12.9649,0.525514
-12.7336,0.920849,0.907128,1,3,0,13.7851,0.704021
-12.7114,1,0.907128,2,3,0,12.7639,0.700567
-12.7622,0.990463,0.907128,1,1,0,12.7896,0.708211
-12.7323,0.935198,0.907128,1,3,0,13.46,0.555162
-12.6728,1,0.907128,2,3,0,12.7423,0.566018
-13.0187,0.960805,0.907128,2,7,0,13.0534,0.737723
-12.5668,0.949548,0.907128,1,3,0,13.4814,0.591873
-12.5135,0.99208,0.907128,1,3,0,12.6241,0.646654
-12.5259,0.997448,0.907128,1,1,0,12.526,0.654465
-12.5608,0.985006,0.907128,2,3,0,12.6567,0.593848
-13.1644,0.924977,0.907128,2,7,0,13.1647,0.750675
-12.9653,0.853894,0.907128,1,3,0,14.7072,0.522334
-12.6643,0.911358,0.907128,1,3,0,13.6468,0.69249
-12.6076,0.953465,0.907128,2,7,0,13.016,0.580414
-14.687,0.46866,0.907128,1,3,0,16.8642,0.831758
-14.8475,0.989983,0.907128,2,7,0,14.8728,0.385482
-14.1796,1,0.907128,2,3,0,14.9242,0.422655
-14.4158,0.983124,0.907128,2,3,0,14.73,0.408673
-12.6075,0.886381,0.907128,1,3,0,15.4324,0.680827
-12.8299,0.959621,0.907128,2,3,0,13.0099,0.717202
-12.7223,0.924056,0.907128,1,3,0,13.565,0.556873
-12.5178,1,0.907128,2,3,0,12.6813,0.649781
-13.4528,0.792107,0.907128,1,3,0,13.9519,0.474244
-13.3729,1,0.907128,2,7,0,13.4255,0.76649
-13.1647,1,0.907128,1,1,0,13.4039,0.750705
-12.5683,0.951463,0.907128,2,3,0,13.7795,0.591381
-13.519,0.838586,0.907128,1,3,0,13.6237,0.468818
-13.4536,1,0.907128,2,7,0,13.4968,0.771967
-13.5858,0.979401,0.907128,1,1,0,13.7142,0.780328
-13.6256,0.993869,0.907128,1,1,0,13.8026,0.782711
-12.5533,0.923848,0.907128,1,3,0,14.348,0.59645
-12.5089,0.998829,0.907128,2,3,0,12.5633,0.620738
-13.1553,0.837452,0.907128,1,3,0,13.5566,0.749918
-12.6021,0.9469,0.907128,1,3,0,13.8072,0.581796
-12.8075,0.955421,0.907128,1,1,0,12.8076,0.543255
-12.9164,0.855942,0.907128,1,3,0,13.9707,0.727265
-12.5053,1,0.907128,2,3,0,12.868,0.637097
-12.5108,0.996123,0.907128,2,3,0,12.5341,0.618671
-12.7073,0.976198,0.907128,2,3,0,12.7096,0.699906
-12.6786,1,0.907128,1,1,0,12.7285,0.695067
-12.8345,0.971008,0.907128,1,1,0,12.8402,0.717776
-12.688,1,0.907128,2,3,0,12.8147,0.69669
-12.6895,0.9997,0.907128,1,1,0,12.7255,0.696957
-12.5405,0.999763,0.907128,2,7,0,12.6613,0.601388
-12.5044,0.928564,0.907128,2,3,0,13.0718,0.63436
-14.7792,0.72928,0.907128,2,3,0,14.8307,0.835095
-13.6667,1,0.907128,1,1,0,14.6251,0.785118
-13.0339,1,0.907128,1,1,0,13.5625,0.73917
-12.8328,1,0.907128,1,1,0,13.017,0.717561
-12.5635,0.993146,0.907128,2,3,0,12.9061,0.669119
-12.6923,0.918805,0.907128,2,3,0,13.2887,0.562285
-12.6936,0.969536,0.907128,2,3,0,13.0225,0.562038
-15.6619,0.663715,0.907128,2,7,0,15.6813,0.862443
-14.1022,1,0.907128,2,3,0,15.4614,0.807634
-12.6088,0.999584,0.907128,2,7,0,13.8014,0.580119
-12.5142,0.878562,0.907128,2,3,0,13.5578,0.647212
-12.9174,0.920348,0.907128,1,3,0,13.0234,0.727379
-13.4903,0.905933,0.907128,1,1,0,13.4904,0.774358
-12.9261,1,0.907128,1,1,0,13.3935,0.728324
-12.695,0.926148,0.907128,1,3,0,13.6752,0.561776
-12.5989,1,0.907128,1,1,0,12.6782,0.582622
-12.7155,0.974506,0.907128,1,1,0,12.7184,0.55806
-12.5822,0.946581,0.907128,2,3,0,13.2068,0.674513
-12.5864,0.999171,0.907128,1,1,0,12.601,0.675621
-12.7708,0.881894,0.907128,2,3,0,13.6908,0.548852
-12.759,1,0.907128,1,1,0,12.8212,0.550735
-12.5072,0.988215,0.907128,1,3,0,12.8414,0.64021
-12.7605,0.946825,0.907128,1,3,0,12.837,0.70796
-12.822,0.906517,0.907128,1,3,0,13.6349,0.541146
-13.0275,0.819745,0.907128,1,3,0,14.2396,0.738565
-13.3725,0.943138,0.907128,1,1,0,13.3958,0.76646
-13.7625,0.980212,0.907128,2,3,0,13.8201,0.790509
-12.5157,0.97096,0.907128,1,3,0,13.9774,0.648362
-12.5157,0.948652,0.907128,1,3,0,12.7871,0.648362
-12.5162,0.995909,0.907128,1,3,0,12.551,0.614266
-12.5104,0.908145,0.907128,2,3,0,13.2065,0.619098
-12.5043,0.999918,0.907128,1,3,0,12.5102,0.629211
-12.8293,0.921886,0.907128,1,3,0,12.9886,0.717118
-12.748,0.918025,0.907128,1,3,0,13.6186,0.552527
-12.6834,0.93727,0.907128,1,3,0,13.3402,0.695897
-12.5886,0.966733,0.907128,1,3,0,13.0065,0.585413
-12.7339,0.968349,0.907128,1,1,0,12.7344,0.554883
-12.584,0.931168,0.907128,2,3,0,13.3493,0.675001
-13.1968,0.918517,0.907128,2,3,0,13.3769,0.753317
-12.7286,0.787024,0.907128,2,3,0,15.5393,0.703261
-12.9865,0.953547,0.907128,1,1,0,12.9891,0.734569
-12.9971,0.998906,0.907128,2,7,0,13.0045,0.518576
-13.2732,0.939426,0.907128,1,1,0,13.3262,0.490039
-13.7675,0.82278,0.907128,2,3,0,15.3075,0.44996
-15.0516,0.753699,0.907128,1,1,0,15.1152,0.375404
-13.9584,1,0.907128,1,1,0,14.9269,0.436787
-14.9032,0.812791,0.907128,1,1,0,15.0381,0.382685
-13.7455,1,0.907128,1,1,0,14.7207,0.451549
-13.6663,1,0.907128,1,1,0,13.9677,0.457378
-13.4213,1,0.907128,1,1,0,13.7585,0.476895
-13.4417,0.998467,0.907128,2,3,0,13.642,0.475173
-13.3776,1,0.907128,2,7,0,13.4198,0.76682
-12.9304,1,0.907128,1,1,0,13.3052,0.728785
-12.5291,0.993127,0.907128,1,3,0,12.9218,0.65609
-12.529,0.991536,0.907128,1,3,0,12.6026,0.606654
-13.8478,0.836157,0.907128,2,3,0,13.8557,0.795087
-12.5613,0.909934,0.907128,1,3,0,14.7238,0.593677
-13.1707,0.805185,0.907128,2,3,0,13.9799,0.751194
-12.5226,1,0.907128,2,3,0,13.1303,0.652695
-12.9262,0.958307,0.907128,2,3,0,12.9352,0.527133
-12.5065,1,0.907128,2,3,0,12.9139,0.623799
-12.6711,0.956153,0.907128,1,3,0,12.7753,0.693732
-12.655,0.939719,0.907128,2,7,0,13.1289,0.569627
-12.667,0.941992,0.907128,1,3,0,13.1353,0.692988
-12.5999,0.964751,0.907128,1,3,0,13.004,0.582367
-13.3738,0.870723,0.907128,2,3,0,13.7877,0.480988
-13.0931,1,0.907128,2,3,0,13.3817,0.507908
-12.786,1,0.907128,1,1,0,13.0364,0.546498
-12.786,0.878895,0.907128,1,1,0,13.2295,0.546498
-12.5123,1,0.907128,2,3,0,12.7372,0.645679
-12.8925,0.792134,0.907128,2,3,0,14.1002,0.724623
-12.5353,0.994471,0.907128,1,3,0,12.8725,0.658907
-12.5742,0.997387,0.907128,2,3,0,12.5747,0.672305
-14.5595,0.603687,0.907128,1,3,0,15.8562,0.400646
-14.5595,0.917974,0.907128,1,1,0,15.2279,0.400646
-15.8202,0.765493,0.907128,1,1,0,16.0131,0.341387
-13.1609,1,0.907128,2,7,0,15.3601,0.75039
-12.9453,1,0.907128,2,3,0,13.1556,0.730365
-12.5472,0.849524,0.907128,2,3,0,14.3896,0.663657
-13.8976,0.706792,0.907128,1,3,0,14.7553,0.440874
-13.9153,1,0.907128,2,7,0,13.9325,0.798563
-13.1934,1,0.907128,1,1,0,13.8037,0.753041
-13.4292,0.961876,0.907128,1,1,0,13.493,0.770345
-12.9549,1,0.907128,1,1,0,13.3527,0.731364
-12.9891,0.998303,0.907128,2,7,0,12.9899,0.51951
-12.5242,0.972902,0.907128,2,3,0,13.2247,0.653552
-13.016,0.907982,0.907128,1,3,0,13.1277,0.73746
-12.5189,0.968462,0.907128,1,3,0,13.2853,0.612429
-13.1071,0.839877,0.907128,1,3,0,13.5522,0.745807
-13.1906,0.995297,0.907128,2,3,0,13.2777,0.752819
-12.8086,1,0.907128,2,3,0,13.1236,0.714494
-12.7535,1,0.907128,1,1,0,12.8322,0.706965
-12.7413,1,0.907128,2,7,0,12.7534,0.553645
-12.5798,0.913835,0.907128,2,3,0,13.4909,0.673848
-12.5258,0.918107,0.907128,2,3,0,13.2366,0.654426
-12.7246,0.940317,0.907128,1,3,0,12.924,0.556468
-12.9795,0.83464,0.907128,1,3,0,13.9309,0.733878
-12.5184,1,0.907128,2,3,0,12.8885,0.612737
-12.5085,0.999131,0.907128,2,3,0,12.5266,0.621162
-12.5381,0.832359,0.907128,2,3,0,13.8498,0.602412
-12.53,1,0.907128,1,1,0,12.54,0.606174
-13.0967,0.930559,0.907128,2,3,0,13.0985,0.744898
-12.7689,0.877502,0.907128,2,7,0,14.1477,0.549151
-13.9382,0.588156,0.907128,1,3,0,15.982,0.799718
-12.6344,0.99853,0.907128,2,7,0,13.6783,0.574064
-14.3816,0.788063,0.907128,2,7,0,14.3861,0.819858
-12.612,0.90257,0.907128,1,3,0,15.7898,0.579322
-12.5328,0.981684,0.907128,1,3,0,12.7475,0.657832
-12.5806,0.97635,0.907128,1,3,0,12.7072,0.587678
-12.5574,1,0.907128,2,3,0,12.5819,0.594987
-13.7946,0.846605,0.907128,2,3,0,13.7954,0.792257
-12.7199,0.989319,0.907128,2,3,0,13.9328,0.7019
-12.619,1,0.907128,2,3,0,12.7047,0.683429
-12.5125,0.998961,0.907128,2,3,0,12.6284,0.645861
-12.5041,0.993239,0.907128,2,3,0,12.5629,0.630509
-12.5074,0.996637,0.907128,2,3,0,12.5277,0.640502
-12.8643,0.915105,0.907128,1,3,0,13.0443,0.535211
-13.0554,0.985927,0.907128,2,3,0,13.0954,0.511985
-12.7901,1,0.907128,1,1,0,13.0126,0.545875
-13.0891,0.93481,0.907128,1,1,0,13.1029,0.508332
-12.7647,1,0.907128,1,1,0,13.0244,0.549825
-12.7671,0.999823,0.907128,2,3,0,12.8239,0.549448
-12.9495,0.845864,0.907128,1,3,0,13.9595,0.730806
-12.9613,0.892042,0.907128,1,3,0,14.2849,0.522817
-12.9637,0.999441,0.907128,1,1,0,13.0648,0.522519
-14.8279,0.772648,0.907128,2,7,0,14.9301,0.836814
-12.5118,0.894808,0.907128,1,3,0,15.8589,0.617737
-12.527,0.993189,0.907128,1,3,0,12.5641,0.65505
-12.7659,0.728482,0.907128,2,3,0,15.0969,0.549631
-12.6148,0.977084,0.907128,2,3,0,12.987,0.578636
-12.7156,0.921511,0.907128,2,7,0,13.156,0.701224
-12.741,0.995211,0.907128,1,1,0,12.7754,0.70512
-12.8028,0.988517,0.907128,1,1,0,12.8328,0.713735
-13.1201,0.981498,0.907128,2,3,0,13.1244,0.746938
-12.922,1,0.907128,1,1,0,13.1173,0.727877
-12.9824,0.989304,0.907128,1,1,0,13.0444,0.734159
-12.5581,0.994015,0.907128,1,3,0,12.9454,0.667389
-13.1839,0.942323,0.907128,2,3,0,13.1881,0.498594
-12.546,0.946255,0.907128,1,3,0,13.5735,0.663192
-12.5939,0.990426,0.907128,1,1,0,12.5948,0.677555
-12.5361,1,0.907128,2,3,0,12.5823,0.659259
-13.4983,0.82291,0.907128,1,3,0,13.761,0.77487
-12.8011,0.874653,0.907128,1,3,0,14.9276,0.544216
-12.9437,0.989459,0.907128,2,3,0,12.9788,0.524953
-13.0499,0.976289,0.907128,1,1,0,13.1222,0.512588
-12.5881,0.932431,0.907128,1,3,0,13.5474,0.676062
-12.6773,0.982667,0.907128,1,1,0,12.6793,0.694837
-13.3947,0.932271,0.907128,2,7,0,13.4004,0.479173
-13.2229,1,0.907128,1,1,0,13.4754,0.494788
-14.8291,0.697619,0.907128,1,1,0,14.8291,0.386419
-14.0248,1,0.907128,1,1,0,14.8214,0.432429
-12.5622,1,0.907128,2,3,0,13.7654,0.668706
-12.5862,0.995219,0.907128,1,1,0,12.5924,0.675568
-12.5112,0.999105,0.907128,1,3,0,12.5795,0.644733
-12.5221,0.997762,0.907128,1,1,0,12.5221,0.652387
-12.5346,0.990091,0.907128,1,3,0,12.5996,0.603993
-13.3379,0.854752,0.907128,1,3,0,13.4632,0.484147
-12.5406,0.995897,0.907128,1,3,0,13.2754,0.601366
-12.5447,0.999117,0.907128,1,1,0,12.5514,0.599712
-12.5352,0.987556,0.907128,1,3,0,12.645,0.65888
-13.3127,0.857683,0.907128,1,3,0,13.5037,0.76219
-12.5146,0.982408,0.907128,1,3,0,13.4134,0.647531
-12.8089,0.923589,0.907128,1,3,0,13.0076,0.543049
-13.9958,0.850916,0.907128,2,7,0,14.0496,0.80257
-13.781,1,0.907128,1,1,0,14.1171,0.791519
-13.7461,0.997926,0.907128,2,7,0,13.8058,0.451502
-14.4576,0.853884,0.907128,1,1,0,14.5884,0.406304
-17.4263,0.53945,0.907128,1,1,0,17.4456,0.284541
-12.9272,1,0.907128,2,3,0,16.6048,0.728437
-12.8726,1,0.907128,1,1,0,12.9723,0.722341
-12.9726,0.982208,0.907128,1,1,0,13.0164,0.733175
-12.9449,1,0.907128,1,1,0,13.043,0.730323
-14.4446,0.875,0.907128,2,7,0,14.471,0.407037
-14.0414,1,0.907128,1,1,0,14.6025,0.431353
-13.1145,1,0.907128,1,1,0,13.8429,0.505651
-13.4163,0.933983,0.907128,1,1,0,13.4886,0.477321
-13.7193,0.934016,0.907128,1,1,0,13.854,0.453456
-12.8286,1,0.907128,2,7,0,13.5723,0.717033
-16.083,0.787643,0.907128,2,3,0,16.0955,0.330939
-14.0203,1,0.907128,1,1,0,15.671,0.432717
-12.9784,1,0.907128,2,3,0,13.7851,0.520763
-14.1975,0.848364,0.907128,2,7,0,14.3127,0.811967
-15.2253,0.875602,0.907128,1,1,0,15.2661,0.849853
-14.6885,1,0.907128,1,1,0,15.3378,0.83181
-14.0902,1,0.907128,1,1,0,14.7078,0.807074
-13.6527,1,0.907128,2,3,0,14.1083,0.784302
-12.7252,0.986998,0.907128,2,3,0,13.8226,0.702728
-12.7883,0.931206,0.907128,1,3,0,13.4989,0.546136
-12.627,1,0.907128,1,1,0,12.7555,0.575758
-12.5397,0.951932,0.907128,2,3,0,13.026,0.660747
-12.5234,0.997257,0.907128,2,3,0,12.5698,0.653156
-12.5378,0.93605,0.907128,2,3,0,13.0085,0.659993
-12.5378,0.90466,0.907128,1,3,0,13.0713,0.659993
-13.0474,0.910554,0.907128,1,3,0,13.1399,0.740434
-13.7417,0.891092,0.907128,1,1,0,13.7422,0.789367
-13.3385,0.724786,0.907128,2,3,0,17.561,0.764056
-12.5325,1,0.907128,2,3,0,13.2912,0.657658
-12.5293,0.991466,0.907128,1,3,0,12.6095,0.6065
-12.5293,0.710567,0.907128,1,3,0,14.2418,0.6065
-13.6431,0.861507,0.907128,2,3,0,13.6496,0.783742
-12.5653,0.918393,0.907128,1,3,0,14.4287,0.592341
-13.5225,0.725591,0.907128,2,3,0,14.6166,0.776409
-12.6255,0.985338,0.907128,1,3,0,13.4635,0.68483
-14.0973,0.87893,0.907128,2,3,0,14.1103,0.427784
-12.5042,0.974817,0.907128,1,3,0,14.2934,0.629989
-12.5399,0.992113,0.907128,1,3,0,12.5512,0.60166
-13.261,0.791683,0.907128,1,3,0,13.921,0.758339
-12.5256,0.953796,0.907128,1,3,0,13.6712,0.608448
-12.5408,0.996704,0.907128,1,1,0,12.5425,0.601263
