# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = tmpd6yhjz12_model
# start_datetime = 2022-03-08 20:45:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = /Users/patryktomaszewski/studies/master deegre sem 1/data analitycs/Data-Analytics-labs/Lab 2 - Intro to stan/samples/code_4-20220308214555_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.420097
# Diagonal elements of inverse mass matrix:
# 0.461359
-0.65384,0.999509,0.420097,1,3,0,0.657405,0.222563
-0.708643,0.991789,0.420097,2,5,0,0.797267,0.365757
-0.708643,0,0.420097,0,1,1,1.53899,0.365757
-0.764988,0.997671,0.420097,1,3,0,0.787001,0.454105
-1.10286,0.795608,0.420097,2,5,1,1.19546,0.849714
-1.08816,1,0.420097,3,7,0,1.10614,0.834291
-2.35206,0.792651,0.420097,2,5,1,3.91367,2.02251
-2.12991,0.999895,0.420097,1,3,0,2.49452,1.82416
-2.23773,0.999789,0.420097,2,3,0,2.30523,1.92073
-1.56752,0.999801,0.420097,2,5,0,2.52269,1.30767
-1.05197,0.749508,0.420097,2,4,1,2.90852,0.795928
-1.02529,1,0.420097,1,1,0,1.05229,0.767239
-1.69004,0.993788,0.420097,2,5,0,2.04958,1.42252
-1.81826,0.999761,0.420097,2,3,0,1.8235,1.54111
-2.02854,0.999401,0.420097,1,3,0,2.16062,1.73278
-1.5612,0.857121,0.420097,2,7,1,2.12493,1.30169
-1.4393,0.999015,0.420097,3,7,0,2.09578,1.18547
-2.30096,0.996806,0.420097,2,7,0,2.87388,1.97709
-2.55865,0.999523,0.420097,1,3,0,2.76141,2.20507
-0.707223,0.75,0.420097,2,4,1,3.90635,0.363241
-0.934076,0.795602,0.420097,2,5,1,0.976864,0.665953
-0.654524,0.433324,0.420097,3,7,0,0.928053,0.227487
-0.654524,0,0.420097,0,1,1,2.44516,0.227487
-0.654524,0,0.420097,0,1,1,1.00513,0.227487
-0.705626,0.997669,0.420097,1,3,0,0.78027,0.360384
-0.705626,0,0.420097,0,1,1,4.19467,0.360384
-0.715867,0.99884,0.420097,3,7,0,0.786025,0.378258
-0.68937,0.5,0.420097,1,2,1,1.00477,0.109949
-0.68937,0,0.420097,0,1,1,0.871001,0.109949
-0.80739,0.423551,0.420097,1,2,1,1.653,0.512042
-1.16729,0.796967,0.420097,2,5,1,1.16937,0.916361
-1.0278,1,0.420097,2,3,0,1.16639,0.769956
-1.03331,0.999953,0.420097,1,1,0,1.03953,0.775899
-0.736861,0.8,0.420097,2,5,1,1.02699,0.412276
-0.736861,0,0.420097,0,1,1,1.78563,0.412276
-0.826497,0.99667,0.420097,1,3,0,0.879098,0.536755
-2.08308,0.980231,0.420097,2,7,0,2.57846,1.78201
-2.09354,0.999983,0.420097,1,1,0,2.1014,1.79143
-2.01861,0.999912,0.420097,3,7,0,2.26062,1.72379
-2.01492,1,0.420097,2,3,0,2.02925,1.72045
-2.04304,0.999952,0.420097,1,1,0,2.04541,1.74589
-1.85883,0.999914,0.420097,1,3,0,2.1348,1.57834
-1.88288,0.999951,0.420097,1,1,0,1.88599,1.60034
-2.24843,0.932733,0.420097,3,15,1,2.74485,1.93028
-2.40464,0.999766,0.420097,1,3,0,2.45763,2.06914
-2.92641,0.998827,0.420097,2,7,0,3.96116,2.52649
-2.12582,0.999838,0.420097,2,5,0,3.33974,1.82047
-1.21685,0.999523,0.420097,2,7,0,2.82068,0.96671
-0.885748,0.666667,0.420097,1,3,1,1.82597,0.609612
-1.94392,0.987538,0.420097,2,7,0,2.2372,1.65602
-1.18853,0.75,0.420097,2,4,1,2.39003,0.938028
-1.1547,1,0.420097,2,3,0,1.18851,0.903457
-0.8834,0.666667,0.420097,1,3,1,1.55523,0.606814
-1.62917,0.991878,0.420097,2,5,0,1.72711,1.36566
-1.08607,0.598382,0.420097,3,7,0,1.244,0.0139163
-2.52545,0.0306484,0.420097,3,11,0,4.66157,2.17584
-3.15388,0.999327,0.420097,3,7,0,3.38116,2.72349
-2.05153,0.833333,0.420097,2,6,1,3.35771,1.75356
-2.06597,0.999961,0.420097,2,3,0,2.10916,1.76658
-1.53381,0.857143,0.420097,2,7,1,2.0697,1.27576
-1.05491,0.666667,0.420097,1,3,1,2.68265,0.799065
-1.02846,1,0.420097,1,1,0,1.05527,0.770667
-0.883025,0.999511,0.420097,1,3,0,1.12476,0.606365
-0.670066,0.5,0.420097,1,2,1,1.36559,0.285
-0.665042,0.999496,0.420097,2,3,0,0.683644,0.270641
-0.703619,0.99174,0.420097,3,7,0,0.879177,0.356753
-1.11384,0.793197,0.420097,2,5,1,1.13339,0.861185
-1.55963,0.66502,0.420097,1,3,1,2.52244,1.30021
-1.18901,0.999677,0.420097,3,7,0,1.80887,0.938515
-0.780875,0.5,0.420097,1,2,1,2.26518,0.4764
-1.39812,0.794026,0.420097,2,5,1,1.46149,1.1457
-1.5033,0.999789,0.420097,3,7,0,1.55873,1.24674
-0.693517,0.998491,0.420097,2,7,0,2.31539,0.337686
-0.693517,0,0.420097,0,1,1,2.04596,0.337686
-0.798063,0.993216,0.420097,1,3,0,0.904246,0.499702
-0.685707,0.666667,0.420097,1,3,1,0.924421,0.321801
-0.678763,0.5,0.420097,1,2,1,0.850837,0.12159
